DateTim,ReservoirIdentifier,ReservoirName,WaterLevel,WaterStorageRate
"2015-04-10T00:00:00","20501","鯉魚潭水庫","273.65","29.65"
"2015-04-11T00:00:00","20501","鯉魚潭水庫","273.57","29.51"
"2015-04-12T00:00:00","20501","鯉魚潭水庫","273.62","29.6"
"2015-04-13T00:00:00","20501","鯉魚潭水庫","273.93","30.12"
"2015-04-14T00:00:00","20501","鯉魚潭水庫","273.98","30.2"
"2015-04-15T00:00:00","20501","鯉魚潭水庫","273.98","30.2"
"2015-04-16T00:00:00","20501","鯉魚潭水庫","273.9","30.07"
"2015-04-17T00:00:00","20501","鯉魚潭水庫","273.82","29.93"
"2015-04-18T00:00:00","20501","鯉魚潭水庫","273.72","29.77"
"2015-04-19T00:00:00","20501","鯉魚潭水庫","273.65","29.65"
"2015-04-20T00:00:00","20501","鯉魚潭水庫","273.57","29.51"
"2015-04-21T00:00:00","20501","鯉魚潭水庫","273.47","29.35"
"2015-04-22T00:00:00","20501","鯉魚潭水庫","273.6","29.56"
"2015-04-23T00:00:00","20501","鯉魚潭水庫","273.61","29.58"
"2015-04-24T00:00:00","20501","鯉魚潭水庫","273.57","29.51"
"2015-04-25T00:00:00","20501","鯉魚潭水庫","273.46","29.33"
"2015-04-26T00:00:00","20501","鯉魚潭水庫","273.36","29.16"
"2015-04-27T00:00:00","20501","鯉魚潭水庫","273.24","28.96"
"2015-04-28T00:00:00","20501","鯉魚潭水庫","273.06","28.66"
"2015-04-29T00:00:00","20501","鯉魚潭水庫","272.91","28.41"
"2015-04-30T00:00:00","20501","鯉魚潭水庫","272.84","28.3"
"2015-05-01T00:00:00","20501","鯉魚潭水庫","272.69","28.06"
"2015-05-02T00:00:00","20501","鯉魚潭水庫","272.51","27.76"
"2015-05-03T00:00:00","20501","鯉魚潭水庫","272.4","27.59"
"2015-05-04T00:00:00","20501","鯉魚潭水庫","272.24","27.33"
"2015-05-05T00:00:00","20501","鯉魚潭水庫","272.23","27.31"
"2015-05-06T00:00:00","20501","鯉魚潭水庫","272.66","28.01"
"2015-05-07T00:00:00","20501","鯉魚潭水庫","272.87","28.35"
"2015-05-08T00:00:00","20501","鯉魚潭水庫","272.99","28.54"
"2015-05-09T00:00:00","20501","鯉魚潭水庫","273.01","28.58"
"2015-05-10T00:00:00","20501","鯉魚潭水庫","273.05","28.64"
"2015-05-11T00:00:00","20501","鯉魚潭水庫","272.87","28.35"
"2015-05-12T00:00:00","20501","鯉魚潭水庫","272.89","28.38"
"2015-05-13T00:00:00","20501","鯉魚潭水庫","273.15","28.81"
"2015-05-14T00:00:00","20501","鯉魚潭水庫","273.22","28.93"
"2015-05-15T00:00:00","20501","鯉魚潭水庫","273.27","29.01"
"2015-05-16T00:00:00","20501","鯉魚潭水庫","273.24","28.96"
"2015-05-17T00:00:00","20501","鯉魚潭水庫","273.19","28.88"
"2015-05-18T00:00:00","20501","鯉魚潭水庫","273.14","28.79"
"2015-05-19T00:00:00","20501","鯉魚潭水庫","272.99","28.54"
"2015-05-20T00:00:00","20501","鯉魚潭水庫","272.95","28.48"
"2015-05-21T00:00:00","20501","鯉魚潭水庫","274.32","30.79"
"2015-05-22T00:00:00","20501","鯉魚潭水庫","274.81","31.63"
"2015-05-23T00:00:00","20501","鯉魚潭水庫","275.34","32.57"
"2015-05-24T00:00:00","20501","鯉魚潭水庫","276.69","35.03"
"2015-05-25T00:00:00","20501","鯉魚潭水庫","278.37","38.26"
"2015-05-26T00:00:00","20501","鯉魚潭水庫","279.4","40.34"
"2015-05-27T00:00:00","20501","鯉魚潭水庫","280.3","42.24"
"2015-05-28T00:00:00","20501","鯉魚潭水庫","280.45","42.57"
"2015-05-29T00:00:00","20501","鯉魚潭水庫","280.4","42.46"
"2015-05-30T00:00:00","20501","鯉魚潭水庫","281.19","44.18"
"2015-05-31T00:00:00","20501","鯉魚潭水庫","282.04","46.09"
"2015-06-01T00:00:00","20501","鯉魚潭水庫","283.01","48.34"
"2015-06-02T00:00:00","20501","鯉魚潭水庫","283.86","50.36"
"2015-06-03T00:00:00","20501","鯉魚潭水庫","284.61","52.19"
"2015-06-04T00:00:00","20501","鯉魚潭水庫","285.33","53.98"
"2015-06-05T00:00:00","20501","鯉魚潭水庫","286","55.66"
"2015-06-06T00:00:00","20501","鯉魚潭水庫","286.57","57.14"
"2015-06-07T00:00:00","20501","鯉魚潭水庫","287.09","58.5"
"2015-06-08T00:00:00","20501","鯉魚潭水庫","287.51","59.62"
"2015-06-09T00:00:00","20501","鯉魚潭水庫","287.91","60.69"
"2015-06-10T00:00:00","20501","鯉魚潭水庫","288.23","61.57"
"2015-06-11T00:00:00","20501","鯉魚潭水庫","288.56","62.48"
"2015-06-12T00:00:00","20501","鯉魚潭水庫","288.81","63.17"
"2015-06-13T00:00:00","20501","鯉魚潭水庫","289.03","63.78"
"2015-06-14T00:00:00","20501","鯉魚潭水庫","289.22","64.32"
"2015-06-15T00:00:00","20501","鯉魚潭水庫","289.4","64.84"
"2015-06-16T00:00:00","20501","鯉魚潭水庫","289.55","65.27"
"2015-06-17T00:00:00","20501","鯉魚潭水庫","289.63","65.49"
"2015-06-18T00:00:00","20501","鯉魚潭水庫","289.73","65.78"
"2015-06-19T00:00:00","20501","鯉魚潭水庫","289.85","66.12"
"2015-06-20T00:00:00","20501","鯉魚潭水庫","289.91","66.29"
"2015-06-21T00:00:00","20501","鯉魚潭水庫","289.98","66.49"
"2015-06-22T00:00:00","20501","鯉魚潭水庫","289.99","66.52"
"2015-06-23T00:00:00","20501","鯉魚潭水庫","290.1","66.84"
"2015-06-24T00:00:00","20501","鯉魚潭水庫","290.36","67.6"
"2015-06-25T00:00:00","20501","鯉魚潭水庫","290.66","68.48"
"2015-06-26T00:00:00","20501","鯉魚潭水庫","290.8","68.89"
"2015-06-27T00:00:00","20501","鯉魚潭水庫","290.87","69.1"
"2015-06-28T00:00:00","20501","鯉魚潭水庫","290.91","69.22"
"2015-06-29T00:00:00","20501","鯉魚潭水庫","290.94","69.3"
"2015-06-30T00:00:00","20501","鯉魚潭水庫","290.94","69.3"
"2015-07-01T00:00:00","20501","鯉魚潭水庫","290.89","69.16"
"2015-07-02T00:00:00","20501","鯉魚潭水庫","290.86","69.07"
"2015-07-03T00:00:00","20501","鯉魚潭水庫","290.82","68.95"
"2015-07-04T00:00:00","20501","鯉魚潭水庫","290.78","68.84"
"2015-07-05T00:00:00","20501","鯉魚潭水庫","290.71","68.63"
"2015-07-06T00:00:00","20501","鯉魚潭水庫","290.65","68.45"
