"ID","發佈統計日期","對象別","月份","第1劑","第2劑","基礎加強劑","第1次追加劑","第2次追加劑","第3次追加劑","第4次追加劑","第5次追加劑"
"2","2023-09-26","中央及地方政府防疫人員","Sep","286,919","228,703","2,097","189,526","75,245","15,501","2,035","15"
"1","2023-09-26","醫事人員","Sep","749,221","677,565","6,709","568,367","316,022","93,305","12,086","174"
"17","2023-09-26","總計","Sep","21,899,240","20,793,089","211,566","17,953,302","5,837,934","1,306,674","155,663","1,520"
"16","2023-09-26","其他","Sep","7,939,825","8,483,925","47,743","7,491,839","1,468,788","145,664","3,824","155"
"15","2023-09-26","12-17歲","Sep","1,266,756","1,112,449","4,149","914,480","203,683","15,000","383","2"
"14","2023-09-26","5-11歲","Sep","1,287,483","1,031,664","2,443","405,988","25,723","","",""
"13","2023-09-26","6個月-4歲","Sep","426,583","251,180","35,090","6,461","","","",""
"12","2023-09-26","50-64歲成人","Sep","3,498,220","3,513,233","24,383","3,318,094","1,197,127","228,423","18,510","185"
"11","2023-09-26","可能增加感染及疾病嚴重風險之疾病風險族群","Sep","1,422,203","880,279","11,939","740,482","264,367","54,477","5,017","44"
"9","2023-09-26","65-74歲","Sep","1,852,838","1,946,131","14,974","1,913,453","1,179,393","431,234","70,148","557"
"8","2023-09-26","孕婦","Sep","67,344","58,645","84","12,116","1,496","156","20",""
"7","2023-09-26","75歲以上長者","Sep","1,185,081","926,118","7,984","934,716","550,475","201,604","33,462","258"
"6","2023-09-26","維持國家安全正常運作之必要人員","Sep","220,802","204,055","1,888","190,589","64,427","8,510","438","8"
"5","2023-09-26","機構及社福照護系統之人員及其受照顧者與洗腎患者","Sep","477,948","425,522","45,954","347,747","205,971","65,978","6,176","65"
"4","2023-09-26","維持社會運作之必要人員","Sep","963,794","866,474","5,260","805,317","237,090","36,973","2,677","43"
"3","2023-09-26","高接觸風險第一線工作人員","Sep","198,879","145,208","787","105,221","44,356","8,939","809","14"
"10","2023-09-26","因外交或公務奉派出國人員","Sep","55,344","41,938","82","8,906","3,771","910","78",""
"41","2023-09-17","因外交或公務奉派出國人員","Sep","55,345","41,938","82","8,906","3,770","910","78",""
"42","2023-09-17","可能增加感染及疾病嚴重風險之疾病風險族群","Sep","1,422,192","880,272","11,939","740,467","264,321","54,435","5,008","44"
"43","2023-09-17","50-64歲成人","Sep","3,498,171","3,513,210","24,383","3,318,023","1,196,956","228,235","18,464","183"
"44","2023-09-17","6個月-4歲","Sep","426,293","250,861","34,882","6,453","","","",""
"45","2023-09-17","5-11歲","Sep","1,287,461","1,031,605","2,431","405,884","25,710","","",""
"46","2023-09-17","12-17歲","Sep","1,266,749","1,112,445","4,149","914,429","203,666","14,993","383","2"
"47","2023-09-17","其他","Sep","7,939,666","8,483,822","47,744","7,491,529","1,468,156","145,367","3,790","149"
"48","2023-09-17","總計","Sep","21,898,668","20,792,544","211,349","17,952,638","5,836,688","1,305,563","155,345","1,499"
"36","2023-09-17","機構及社福照護系統之人員及其受照顧者與洗腎患者","Sep","477,941","425,518","45,955","347,738","205,937","65,953","6,153","64"
"40","2023-09-17","65-74歲","Sep","1,852,828","1,946,115","14,975","1,913,410","1,179,215","430,867","70,007","549"
