"ID","個案研判日","縣市別","區域","新增確診人數","累計確診人數","七天移動平均新增確診人數"
"1","2023-09-07","全國","全區","2","10,241,523","0.43"
"4","2023-09-05","全國","全區","1","10,241,521","0.14"
"7","2023-08-07","全國","全區","1","10,241,520","0.14"
"10","2023-07-25","全國","全區","6","10,241,519","2.00"
"15","2023-07-24","全國","全區","4","10,241,513","1.14"
"22","2023-07-21","全國","全區","3","10,241,509","0.71"
"28","2023-07-20","全國","全區","1","10,241,506","0.29"
"31","2023-07-17","全國","全區","1","10,241,505","0.29"
"34","2023-07-13","全國","全區","1","10,241,504","0.29"
"37","2023-07-07","全國","全區","1","10,241,503","0.29"
"40","2023-07-03","全國","全區","1","10,241,502","0.57"
"43","2023-06-30","全國","全區","1","10,241,501","0.43"
"46","2023-06-27","全國","全區","2","10,241,500","0.43"
"51","2023-06-21","全國","全區","1","10,241,498","0.86"
"54","2023-06-17","全國","全區","3","10,241,497","239.71"
"57","2023-06-16","全國","全區","1","10,241,494","239.29"
"60","2023-06-15","全國","全區","1","10,241,493","239.14"
"63","2023-06-14","全國","全區","1,673","10,241,492","239.14"
"265","2023-06-08","全國","全區","1","10,239,819","0.57"
"268","2023-06-07","全國","全區","1","10,239,818","0.71"
"271","2023-06-05","全國","全區","1","10,239,817","0.57"
"274","2023-06-02","全國","全區","1","10,239,816","0.43"
"277","2023-06-01","全國","全區","2","10,239,815","0.29"
"281","2023-05-25","全國","全區","1","10,239,813","0.14"
"284","2023-05-17","全國","全區","1","10,239,812","6.57"
"287","2023-05-16","全國","全區","36","10,239,811","6.57"
"297","2023-05-15","全國","全區","4","10,239,775","1.43"
"304","2023-05-12","全國","全區","5","10,239,771","2.29"
"311","2023-05-10","全國","全區","1","10,239,766","1.71"
"314","2023-05-08","全國","全區","10","10,239,765","1.71"
"323","2023-05-04","全國","全區","1","10,239,755","0.43"
"326","2023-05-03","全國","全區","1","10,239,754","0.29"
"329","2023-04-28","全國","全區","1","10,239,753","0.14"
"332","2023-04-21","全國","全區","2","10,239,752","0.57"
"335","2023-04-19","全國","全區","2","10,239,750","0.43"
"340","2023-04-14","全國","全區","1","10,239,748","0.14"
"343","2023-04-06","全國","全區","1","10,239,747","0.14"
"346","2023-03-25","全國","全區","4","10,239,746","1,220.86"
"355","2023-03-24","全國","全區","14","10,239,742","2,422.57"
"373","2023-03-23","全國","全區","25","10,239,728","3,566.71"
"402","2023-03-22","全國","全區","54","10,239,703","4,765.29"
"449","2023-03-21","全國","全區","267","10,239,649","6,051.86"
"585","2023-03-20","全國","全區","2,643","10,239,382","7,468.86"
"869","2023-03-19","全國","全區","5,539","10,236,739","8,531.71"
"1,197","2023-03-18","全國","全區","8,416","10,231,200","8,679.57"
"1,537","2023-03-17","全國","全區","8,023","10,222,784","8,775.71"
"1,889","2023-03-16","全國","全區","8,415","10,214,761","8,860.86"
"2,242","2023-03-15","全國","全區","9,060","10,206,346","8,957.71"
"2,593","2023-03-14","全國","全區","10,186","10,197,286","9,032.14"
"2,950","2023-03-13","全國","全區","10,083","10,187,100","9,156.43"
"3,309","2023-03-12","全國","全區","6,574","10,177,017","9,292.00"
"3,654","2023-03-11","全國","全區","9,089","10,170,443","9,364.00"
"4,007","2023-03-10","全國","全區","8,619","10,161,354","9,537.43"
"4,362","2023-03-09","全國","全區","9,093","10,152,735","9,934.00"
"4,721","2023-03-08","全國","全區","9,581","10,143,642","10,607.57"
"5,075","2023-03-07","全國","全區","11,056","10,134,061","11,252.86"
